title	type	url_slug	venue	date	location	talk_url	description
Clustering alignment for single cell analyses: streamlining model comparison and revealing informative genes.	Talk	gi25	Genome Informatics	2025-11-07	Cold Spring Harbor Laboratory, NY			
ML-MAGES: A machine learning framework for multivariate genetic association analyses with genes and effect size shrinkage.	Talk	recomb25	The Research in Computational Molecular Biology (RECOMB) 2025 Conference	2025-04-01	Seoul, Korea
Clumppling: a new method for aligning replicate solutions in population structure analysis.	Talk	evo23	Evolution 2023 Conference	2023-06-01	Albuquerque, NM
A Dirichlet model of alignment cost in mixed-membership clustering results of ancestry inference.	Talk	bapg22	Bay Area Population Genomics Conference	2022-10-01	Berkeley, CA
